Directors Score,Total Revenue,Total Debt,Debt-to-Income Ratio,Operating Margin,Debt Service Coverage Ratio,Cash Flow Volatility,Revenue Growth Rate,Average Month-End Balance,Average Negative Balance Days per Month,Number of Bounced Payments,Company Age (Months),Sector_Risk,outcome,company_name
75.56,346957.0,0,0.0,0.396,1.79,0.3209323846108828,0.29864568283957305,7678.1507692307705,1.1538461538461537,3,22.0,0,0,Cheers&Chill Limited
72.16,213798.0,0,0.0,0.006,50.0,0.3673739672041101,-0.08789197492478931,8466.174999999997,0.0,0,15.0,0,0,Chilli Too Limited
86.98,117255.0,0,0.0,-0.01,6.36,0.47891267801652193,0.13381904833053687,731.6253846153847,0.38461538461538464,0,38.0,0,1,Class Barber Sw Ltd
76.93,359276.0,0,0.0,0.003,37.53,0.4227334716854433,0.37673188963860277,9280.431538461526,1.2307692307692308,0,41.0,0,0,Cleaner Than Ever Norbury Ltd
90.2,226389.0,0,0.0,-0.148,50.0,0.8590162572101689,0.46378169697433635,1003.9057142857133,0.0,0,27.0,0,0,Coreerp Solutions
83.8,78456.0,0,0.0,0.051,21.25,0.4443006051699546,-0.011484289968496708,402.54750000000035,0.125,0,28.0,0,0,Creative Plus Media Ltd
86.9,165051.0,0,0.0,-0.014,5.53,0.5558121990741333,1.2942154817906388,3427.5092307692294,1.4615384615384615,0,34.0,0,0,Cs Sport
86.9,12789.0,0,0.0,0.488,1.78,0.022579075357250233,-0.04416103536904853,175.32999999999961,7.5,0,34.0,0,1,Cs Sports
62.15,58292.0,0,0.0,-0.009,50.0,1.563763333480816,-0.3314306489115304,31.661000000001316,16.6,0,15.0,0,0,Custom Car Paint Ltd
85.09,21661.0,0,0.0,0.359,50.0,0.47661784828188736,-0.31080040956664073,1210.8649999999993,0.0,0,65.0,0,0,D&C Couriers Limited
75.91,4171.0,0,0.0,-1.0,1.18,0.5256681212303049,-0.6890989120312798,164.93500000000026,1.0,0,32.0,0,0,Data4Est Ltd
88.54,53649.0,0,0.0,-0.177,26.45,0.5380436419417725,-0.008325402514500008,2176.7900000000013,0.0,0,13.0,0,0,Davaro Limited
