json_file,outcome_label,in_paid_upload,in_not_paid_upload
SN Star Services Ltd.json,unlabelled,False,False
Hardman Fitness LTD.json,unlabelled,False,False
Totes Luxe UK LTD.json,unlabelled,False,False
Risk-Enterprise Limited.json,unlabelled,False,False
greenlight digital.json,unlabelled,False,False
Muscle makers gym limited app 3.json,unlabelled,False,False
Suede Hosting Ltd(1).json,unlabelled,False,False
Zainobu Limited(1).json,unlabelled,False,False
The Fuel Agency (UK) Ltd_categorized(1).json,unlabelled,False,False
Verve GB(1).json,unlabelled,False,False
Victory and Joel Ltd (1).json,unlabelled,False,False
Vision ET Consilium Ltd(1).json,unlabelled,False,False
Voltanic Ltd(1).json,unlabelled,False,False
White_canvas(1).json,unlabelled,False,False
Wye Valley Catering(1).json,unlabelled,False,False
Rosethorn Studio Ltd(1).json,unlabelled,False,False
SAINT_GIOVANNI_DE_LA_MODE_LTD(1).json,unlabelled,False,False
SCS Facilities Services Ltd(1).json,unlabelled,False,False
Smithstrade Ltd(1).json,unlabelled,False,False
T44J Ltd(1).json,unlabelled,False,False
The Fuel Agency (UK) Ltd(1).json,unlabelled,False,False
Muscle Makers Gym Limited_categorized_categorized(1).json,unlabelled,False,False
Phone Expert Services Ltd 2(1).json,unlabelled,False,False
PLH Services Ltd(1).json,unlabelled,False,False
Punchard Group Ltd(1).json,unlabelled,False,False
R A F Chilamena Limited(1).json,unlabelled,False,False
Matches Talent Ltd(1).json,unlabelled,False,False
Mikaiel Limited(1).json,unlabelled,False,False
MSFMart UK Ltd(1).json,unlabelled,False,False
Muscle Makers Gym Limited app 2(1).json,unlabelled,False,False
Muscle Makers Gym Limited Data Analysis(1).json,unlabelled,False,False
Muscle Makers Gym Limited_categorized(1).json,unlabelled,False,False
Ivy Aesthetic Clinic Academy Ltd(1).json,unlabelled,False,False
Jemark Ltd(1).json,unlabelled,False,False
Lime Service Group Ltd(1).json,unlabelled,False,False
Lopez Plant Hire Ltd(1).json,unlabelled,False,False
Madestays Limited(1).json,unlabelled,False,False
Madinska & Co Ltd(1).json,unlabelled,False,False
Marvellous Glow Ltd(1).json,unlabelled,False,False
Elsco Private Limited(1).json,unlabelled,False,False
GC Bike Repairs Ltd 3(1).json,unlabelled,False,False
Gozone Care Ltd(1).json,unlabelled,False,False
Hair and Beauty Palace Ventures Limited(1).json,unlabelled,False,False
Harbour_galley(1).json,unlabelled,False,False
Allure Salon (UK) Ltd(1).json,unlabelled,False,False
Apollo Supermarket(1).json,paid,True,False
Bedew Skin Ltd(1).json,unlabelled,False,False
DLC Lighting Ltd(1).json,unlabelled,False,False
DTS Materials Ltd(1).json,unlabelled,False,False
Gwynne and HHyde Plumbing and Heating Ltd(1).json,unlabelled,False,False
Noble Executive Limited P1(1).json,unlabelled,False,False
Phoenix Group Services Ltd(1).json,unlabelled,False,False
Michel-Reynolds Agency Ltd(1).json,unlabelled,False,False
King of Steel Media Ltd(1).json,unlabelled,False,False
YLK GROUP LTD(1).json,unlabelled,False,False
Stockport Jungle Ltd(1).json,unlabelled,False,False
The Boot Country Pub Ltd(1).json,unlabelled,False,False
The Coven Ltd(1).json,unlabelled,False,False
Thor Ltd(1).json,unlabelled,False,False
Uteachmi Ltd Transaction Report(1).json,unlabelled,False,False
White Sea Technologies Limited(1).json,unlabelled,False,False
Wigporium Ltd(1).json,unlabelled,False,False
R W Waste Ltd(1).json,unlabelled,False,False
Sady cs Ltd (1).json,unlabelled,False,False
Saffron Private Limited(1).json,unlabelled,False,False
SIMPLY_LOCAL_RICHMOND_LTD(1).json,unlabelled,False,False
South Coast_categorized(1).json,not_paid,False,True
Standout Aesthetics Limited(1).json,unlabelled,False,False
Stevnson Property Services Ltd(1).json,unlabelled,False,False
House of Mystery(1).json,unlabelled,False,False
Lumi SKN Ltd(1).json,unlabelled,False,False
Marvel Heating & REnewable Energy Ltd(1).json,unlabelled,False,False
Mr Eats Group Ltd(1).json,unlabelled,False,False
Muscle Makers Gym Limited(1).json,unlabelled,False,False
Nikolov 92 Ltd(1).json,unlabelled,False,False
Pemienterprize Ltd(1).json,unlabelled,False,False
ps & sons ltd(1).json,unlabelled,False,False
French Sole Ltd(1).json,unlabelled,False,False
GC Bike Repairs Ltd(1).json,unlabelled,False,False
GIT Support LTD(1).json,unlabelled,False,False
GIT Support LTD_categorized(1).json,unlabelled,False,False
Go Commercial Finance Ltd(1).json,unlabelled,False,False
Golden Triangle Financial Services Ltd(1).json,unlabelled,False,False
Harley Street Hair Transplants(1).json,unlabelled,False,False
Bottom Line Consultants Ltd(1).json,unlabelled,False,False
CS Sport(1).json,unlabelled,False,False
Data4est Ltd(1).json,unlabelled,False,False
Deli Ice Limited(1).json,unlabelled,False,False
Elm Pub Group Ltd TA As The Bull Inn(1).json,unlabelled,False,False
Elpromotions Limited(1).json,unlabelled,False,False
Flight Training Essex ltd(1).json,unlabelled,False,False
Foolgood Salons Ltd(1).json,unlabelled,False,False
Akar Food Ltd(1).json,unlabelled,False,False
All in the wrap Limited(1).json,unlabelled,False,False
Apprintable Limited Transaction Report(1).json,unlabelled,False,False
Ashby Street Motors Ltd(1).json,unlabelled,False,False
BBD Services Ltd Transaction Report(1).json,unlabelled,False,False
Befirst Constructions Ltd - Transaction Report(1).json,unlabelled,False,False
Besachkarma Limited(1).json,unlabelled,False,False
Blisshealth Concepts Limited(1).json,unlabelled,False,False
22Lush Limited Transaction Report_categorized(1).json,unlabelled,False,False
Accounted Ltd(1).json,unlabelled,False,False
Advanced Automotive Performance Ltd(1).json,unlabelled,False,False
Hans-Lec Transaction Report(1).json,unlabelled,False,False
