pdf_file,matched_company,match_score,match_strategy,business_ccj,text_backend,error
ANTHONY_HEALTHCARE_LTD-capital_report-2024-05-14.pdf,Anthony Healthcare ltd,90.9090909090909,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
ANTHONY_HEALTHCARE_LTD-capital_report-2024-06-24.pdf,Anthony Healthcare ltd,90.9090909090909,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
ANTHONY_TRANSPORT_LTD-capital_report-2024-03-11.pdf,Anthony transport ltd,90.47619047619048,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
APEX_KITCHEN_LIMITED-capital_report-2024-06-27.pdf,apex kitchen limited,80.0,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
APOLLO_CORNWALL_TRAVEL_LIMITED-capital_report-2024-08-08.pdf,Apollo cornwall travel limited,84.0,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
APOLLO_SUPERMARKET_LTD-capital_report-2024-06-28.pdf.txt.pdf,Apollo Supermarket Ltd,90.9090909090909,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
APPRINTABLE_LIMITED-capital_report-2024-08-12(1).pdf,Apprintable Limited,85.71428571428572,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
APPRINTABLE_LIMITED-capital_report-2024-08-12.pdf,Apprintable Limited,85.71428571428572,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
ARCANE_ACRES_LIMITED-capital_report-2025-04-23(1).pdf,Arcane Acres Limited,80.0,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
ARCANE_ACRES_LIMITED-capital_report-2025-04-23.pdf,+234,80.0,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
