plaid_detailed,subcategory,count
general_merchandise_gifts_and_novelties,Income,105
personal_care_other_personal_care,Expenses,101
general_services_consulting_and_legal,Debt Repayments,101
medical_other_medical,Special Inflow,100
income_wages,Special Inflow,98
other,Income,98
loan_payments_personal_loan_payment,Transfer Out,97
transfer_out_account_transfer,Failed Payment,97
general_services_accounting_and_financial_planning,Transfer Out,97
transportation_public_transit,Failed Payment,94
transportation_gas,Special Inflow,93
rent_and_utilities_telephone,Special Inflow,89
home_improvement_furniture,Special Inflow,85
general_merchandise_department_stores,Special Inflow,82
bank_fees_insufficient_funds,Failed Payment,81
transportation_taxis_and_ride_shares,Special Inflow,78
income_other_income,Special Inflow,75
travel_rental_cars,Special Inflow,67
rent_and_utilities_rent,Debt Repayments,66
personal_care_hair_and_beauty,Debt Repayments,66
general_merchandise_pet_supplies,Special Inflow,63
transfer_out_other_transfer_out,Failed Payment,58
personal_care_hair_and_beauty,Special Inflow,56
food_and_drink_other_food_and_drink,Debt Repayments,55
entertainment_tv_and_movies,Special Inflow,54
rent_and_utilities_gas_and_electricity,Debt Repayments,51
general_services_childcare,Special Inflow,48
loan_payments_credit_card_payment,Loans,47
entertainment_tv_and_movies,Transfer Out,45
travel_other_travel,Debt Repayments,44
travel_other_travel,Special Inflow,43
rent_and_utilities_rent,Transfer Out,43
income_interest_earned,Loans,40
general_merchandise_superstores,Special Inflow,39
bank_fees_overdraft_fees,Bank Charge,37
home_improvement_hardware,Debt Repayments,36
general_merchandise_pet_supplies,Income,35
government_and_non_profit_donations,Special Inflow,34
general_merchandise_gifts_and_novelties,Special Inflow,34
entertainment_sporting_events_amusement_parks_and_museums,Debt Repayments,34
food_and_drink_coffee,Income,34
transportation_public_transit,Bank Charge,33
bank_fees_overdraft_fees,Failed Payment,32
entertainment_other_entertainment,Transfer Out,32
transportation_gas,Debt Repayments,27
government_and_non_profit_government_departments_and_agencies,Debt Repayments,27
entertainment_video_games,Special Inflow,26
general_merchandise_other_general_merchandise,Debt Repayments,26
rent_and_utilities_gas_and_electricity,Failed Payment,26
general_merchandise_online_marketplaces,Transfer Out,26
income_wages,Failed Payment,25
transportation_taxis_and_ride_shares,Failed Payment,25
income_unemployment,Income,24
transportation_gas,Failed Payment,23
general_services_insurance,Failed Payment,23
bank_fees_other_bank_fees,Special Inflow,23
transportation_parking,Special Inflow,23
medical_dental_care,Special Inflow,22
loan_payments_personal_loan_payment,Failed Payment,22
