file,status,transaction_count,date_min,date_max,revenue_total,non_revenue_credit_total,uncategorised_count,failed_payment_count,loan_credit_count,debt_repayment_count,exception_count
JsonExport/ARTHUR'S IT SERVICES LIMITED - GetReportByID.json,ok,100,2024-02-20,2024-03-06,0.0,2034.48,0.0,2.0,0.0,4.0,31.0
JsonExport/ARYAANCOMPANY LtD.json,ok,1177,2025-04-08,2026-04-08,24146.55,83433.07,0.0,0.0,18.0,2.0,187.0
JsonExport/AS Cladding and Roofing Ltd.json,ok,100,2024-05-28,2024-06-10,5300.0,1810.1,0.0,0.0,2.0,25.0,1.0
"JsonExport/AS Cladding and Roofing Ltd_0,0.json",ok,100,2024-05-28,2024-06-10,5300.0,1810.1,0.0,0.0,2.0,25.0,1.0
JsonExport/As Derby restaurants ltd.json,ok,2687,2025-03-09,2026-03-09,252244.64,40936.92,0.0,0.0,2.0,25.0,7.0
JsonExport/As You Like It Building Services LTD - GetReportByID.json,ok,100,2024-01-17,2024-03-15,2573.0,5662.64,0.0,0.0,0.0,5.0,3.0
JsonExport/Ashby Street Motors Ltd.json,ok,1022,2024-06-11,2024-11-13,19884.0,591188.84,0.0,4.0,3.0,28.0,135.0
JsonExport/Asmaraltd.json,ok,245,2025-03-10,2025-06-25,0.0,121012.41,0.0,0.0,0.0,2.0,92.0
JsonExport/Aspect Projects - GetReportByID (1)(1).json,ok,100,2024-03-16,2024-04-01,0.0,2486.36,0.0,0.0,0.0,5.0,1.0
JsonExport/Astra Power Generation Limited - GetReportByID.json,ok,70,2023-12-02,2024-02-22,1700.0,18235.09,0.0,0.0,1.0,0.0,4.0
JsonExport/Aurina Ltd.json,ok,2796,2025-02-18,2026-02-18,29840.28,346110.06,0.0,10.0,5.0,368.0,76.0
JsonExport/Auto Repairs Basingstoke Ltd.json,ok,1885,2025-01-02,2026-01-02,45601.64,62384.19,0.0,0.0,11.0,22.0,9.0
JsonExport/AYA & Partners - GetReportByID (1)(1).json,ok,100,2023-12-08,2024-02-28,16354.0,0.0,0.0,0.0,0.0,2.0,0.0
JsonExport/Ayaz Tyres & Wheels ltd.json,ok,1114,2024-12-16,2025-12-16,23489.82,67398.49,0.0,1.0,3.0,141.0,8.0
JsonExport/Baby ultrasound clinic limited.json,ok,5846,2024-10-07,2025-10-06,2963.74,637731.65,0.0,1.0,0.0,229.0,2384.0
JsonExport/Baig Halal Butcher ltd - GetReportByID.json,ok,474,2024-11-20,2025-04-23,4250.0,320717.98,0.0,3.0,2.0,81.0,121.0
JsonExport/Baig halal butcher ltd.json,ok,781,2024-11-20,2025-07-07,9450.0,435653.24,0.0,12.0,2.0,134.0,168.0
JsonExport/BBD Services Ltd Transaction Report.json,ok,526,2023-08-17,2024-08-16,1096128.82,759103.77,0.0,0.0,0.0,18.0,104.0
"JsonExport/BBD Services Ltd Transaction Report_0,0.json",ok,526,2023-08-17,2024-08-16,1096128.82,759103.77,0.0,0.0,0.0,18.0,104.0
JsonExport/BD HEALTH SOLUTIONS LTD - GetReportByID.json,ok,90,2023-03-17,2024-03-11,350.72,15997.33,0.0,0.0,0.0,0.0,5.0
JsonExport/Beddoes removals and stotage.json,ok,2320,2025-02-11,2026-02-10,44731.57,183735.23,0.0,24.0,2.0,44.0,63.0
JsonExport/Bedew Skin Ltd(1).json,ok,1092,2024-06-17,2025-04-04,30121.91,50867.31,0.0,0.0,52.0,39.0,65.0
JsonExport/Bedew Skin Ltd.json,ok,2160,2023-07-24,2024-07-24,137659.2,84474.11,0.0,12.0,221.0,92.0,271.0
"JsonExport/Bedew Skin Ltd_0,0.json",ok,2160,2023-07-24,2024-07-24,137659.2,84474.11,0.0,12.0,221.0,92.0,271.0
JsonExport/Bedew Skin Ltd_categorized.json,ok,2160,2023-07-24,2024-07-24,132791.62,0.0,0.0,12.0,211.0,118.0,5.0
JsonExport/Befirst Constructions Ltd - Transaction Report.json,ok,717,2023-09-15,2024-07-25,94090.64,25207.65,0.0,0.0,28.0,26.0,20.0
"JsonExport/Befirst Constructions Ltd - Transaction Report_0,0.json",ok,717,2023-09-15,2024-07-25,94090.64,25207.65,0.0,0.0,28.0,26.0,20.0
