reason_source,reason,not_paid,paid,total_mentions,not_paid_share
final_decision_reasons,"Weighted MCA/Subprime score 36.5 is below the senior review threshold of 60 (MCA 30 / Subprime 49). Raw weighted score was 37.5, reduced by 1.0 for good convergence between MCA and Subprime.",2,0,2,1.0
mca_rule_reasons,Avg Negative Balance Days 10 > 6,2,0,2,1.0
mca_rule_reasons,Cash Flow Volatility 1.01 > 0.35,2,0,2,1.0
final_decision_reasons,Ensemble decision: DECLINE,2,4,6,0.3333333333333333
final_decision_reasons,Directors score critically low (<20),0,2,2,0.0
final_decision_reasons,Ensemble decision: SENIOR_REVIEW,0,2,2,0.0
final_decision_reasons,"Weighted MCA/Subprime score 40.8 is below the senior review threshold of 60 (MCA 30 / Subprime 69). Raw weighted score was 45.8, reduced by 5.0 for low convergence between MCA and Subprime.",0,2,2,0.0
final_decision_reasons,"Weighted MCA/Subprime score 65.9 falls in the senior-review band (MCA 60 / Subprime 82). Raw weighted score was 68.9, reduced by 3.0 for moderate convergence between MCA and Subprime.",0,2,2,0.0
mca_rule_reasons,Avg Negative Balance Days 7 > 6,0,2,2,0.0
mca_rule_reasons,Cash Flow Volatility 0.38 > 0.35,0,2,2,0.0
mca_rule_reasons,Cash Flow Volatility 0.55 > 0.35,0,2,2,0.0
mca_rule_reasons,Cash Flow Volatility 0.73 > 0.35,0,2,2,0.0
